Fighter,FPI
Joseph Holmes,2.074387065743781
Joseph Morales,2.585527788723203
Josh Barnett,4.661518152979019
Josh Culibao,2.5049097028254135
Josh Emmett,4.657189221497047
Josh Fremd,2.4550158077311433
Josh Grispi,2.440529389994751
Josh Koscheck,5.568477973013316
Josh Neer,3.729405469865309
Josh Parisian,2.412086393794735
Josh Quinlan,1.7899506010585267
Josh Samman,3.4999642495919057
Josh Stansbury,2.1545548441325213
Josh Thomson,4.800912027644309
Joshua Burkman,3.8970185106021837
Joshua Van,2.035884541522508
Josiane Nunes,1.7176881119335858
Journey Newson,1.202997305766265
Jp Buys,2.2711240115310276
Juan Adams,1.1468370597980335
Juan Espino,3.0085010755930575
Julia Avila,1.399227997342061
Julia Polastri,2.2624234809027177
Julian Erosa,3.1029783915847537
Julian Marquez,2.9500336266218268
Juliana Miller,1.905283322405754
Julianna Pena,4.162059321303873
Julija Stoliarenko,1.0955027985664374
Julio Arce,3.595252661911403
Jumabieke Tuerxun,2.587260806955657
Junior Albini,3.7200489337742355
Junior Dos Santos,6.013262880333848
Junior Hernandez,1.8357346867830082
Junior Tafa,1.9935354696937764
Junyong Park,2.9182644981710073
Jussier Formiga,4.179585233390015
Justin Gaethje,5.2944551397246045
Justin Lawrence,3.5061910285467053
Justin Ledet,4.398833218290893
Justin Salas,3.180526589747941
Justin Scoggins,3.742308492449932
Justin Tafa,1.6636069636935575
Justin Willis,3.912334703239707
Justine Kish,3.509625656385512
Kaan Ofli,0.30106448296893296
Kai Kamaka,2.288963785221448
Kai Kara France,1.3457583389545569
Kai Kara-France,3.2747901002997546
Kailin Curran,3.0061798960573825
Kajan Johnson,3.740799984555824
Kalindra Faria,2.001065082855349
Kamaru Usman,6.198897287482211
Kamuela Kirk,1.8152135026183964
Kanako Murata,2.778761712983141
Karine Silva,2.8144710576640684
Karl Roberson,2.8374309310278147
Karl Williams,2.6885374429220934
Karlos Vemola,3.705958980443656
Karo Parisyan,4.738088216133141
Karol Rosa,2.084203967092929
Karolina Kowalkiewicz,3.570330821124029
Katlyn Cerminara,4.615265137105844
Katlyn Chookagian,3.8440680430538783
Katsunori Kikuno,2.723466244361738
Kaue Fernandes,2.4849625478020783
Kay Hansen,1.5181690885013637
Kazula Vargas,0.8624727167955113
Keita Nakamura,3.5670223272917987
Keith Jardine,5.037311628835349
Kelvin Gastelum,4.782423522348612
Ken Stone,2.2943125524558514
Kendall Grove,4.353241374189877
Kennedy Nzechukwu,3.186545350011773
Kenny Florian,5.766975035168466
Kenny Robertson,3.319586209780185
Ketlen Vieira,3.6497712303189713
Kevin Aguilar,2.3359133545685222
Kevin Casey,3.007708998953216
Kevin Ferguson,3.2919036779699087
Kevin Holland,3.9821870902880514
Kevin Jousset,2.743149816554478
Kevin Lee,5.805940311404351
Kevin Souza,4.440555183144518
Khabib Nurmagomedov,6.768568594204717
Khadis Ibragimov,2.4901467647128186
Khalid Taha,1.645764055240512
Khalil Rountree Jr.,2.456282701078452
Khama Worthy,1.4701260252322217
Khamzat Chimaev,4.328180320316088
